Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
UBP305x305x126;312.4;312.5;17.7;17.7;161.3;126;27484;1760;13.1;8999;1760;7.47;59.1887;15.2;854.3157318;2229.618816;56.94227343;129;b/c;996;;;9;3;H;0;a
UBP305x305x110;307.9;310.3;15.4;15.4;140.4;110;23580;1532;13;7689;1532;7.4;51.8808;15.2;733.8628344;1912.050263;49.48227148;113;b/c;861;;;9;3;H;0;a
UBP305x305x95;303.8;308.3;13.4;13.4;121.4;95;20112;1324;12.9;6536;1324;7.33;44.6448;15.2;631.0803003;1631.107867;42.70467639;97;b/c;739.5;;;9;3;H;0;a
UBP305x305x88;301.7;307.2;12.3;12.3;111.8;88;18404;1220;12.8;5960;1220;7.3;41.4809;15.2;575.9350394;1491.990272;39.30464107;90;b/c;679;;;9;3;H;0;a
UBP305x305x79;299.2;306;11.1;11.1;100.4;79;16400;1096;12.8;5292;1096;7.26;37.0745;15.2;516.1968183;1329.777778;35.26561837;81;b/c;608;;;9;3;H;0;a
UBP254x254x85;254.3;259.7;14.3;14.3;108.1;85;12264;964.5;10.7;4188;964.5;6.22;39.5029;12.7;467.2999465;1224.524963;37.52947145;87;b/c;545;;;9;3;H;0;a
UBP254x254x71;249.9;257.5;12.1;12.1;91.1;71;10153;812.7;10.6;3451;812.7;6.15;33.3225;12.7;389.3192305;1013.947728;31.55541529;73;b/c;455.6;;;9;3;H;0;a
UBP254x254x63;246.9;256;10.6;10.6;79.7;63;8775;710.9;10.5;2971;710.9;6.11;29.244;12.7;337.560538;876.2916126;27.5550574;65;b/c;391.25;;;9;3;H;0;a
UBP203x203x54;203.9;207.2;11.3;11.3;68.4;54;4987;489.2;8.64;1683;489.2;4.96;25.1549;10.2;236.5418562;619.9371038;23.82373289;55;b/c;276.4;;;9;3;H;0;a
UBP203x203x45;200.2;205.4;9.5;9.5;57;45;4079;407.6;8.46;1369;407.6;4.9;20.8145;10.2;195.6423199;507.4721393;19.80680868;46;b/c;228.3;;;9;3;H;0;a
CHANNELS305x102;304.8;101.6;10.2;14.8;58.83;46.18;8214;539;11.8;499.5;66.59;2.91;32.4464;26.7;265.2024201;740.6997295;31.5920194;47;c/c;319.15;49.5;86.3;10;3;U;2.56;c
CHANNELS305x89;304.8;88.9;10.2;13.7;53.11;41.69;7061;463.3;11.5;325.4;48.49;2.48;32.3414;25.7;222.908419;624.84;32.31021974;43;c/c;278.55;39.9;57.2;10;3;U;2.1;c
CHANNELS254x89;254;88.9;9.1;13.6;45.52;35.74;4448;350.2;9.88;302.4;46.7;2.58;24.2892;20.4;170.8968371;478.2301075;23.6849322;37;c/c;207.2;25.6;30;10;3;U;2.27;c
CHANNELS254x76;254;76.2;8.1;10.9;36.03;28.29;3367;265.1;9.67;162.6;28.21;2.12;22.1284;19;123.4231486;346.7322348;22.09690832;29;c/c;158.7;14.4;16.9;10;3;U;1.73;c
